"","eyeBlinkLeft","eyeLookDownLeft","eyeLookInLeft","eyeLookOutLeft","eyeLookUpLeft","eyeSquintLeft","eyeWideLeft","eyeBlinkRight","eyeLookDownRight","eyeLookInRight","eyeLookOutRight","eyeLookUpRight","eyeSquintRight","eyeWideRight","jawForward","jawLeft","jawRight","jawOpen","mouthClose","mouthFunnel","mouthPucker","mouthLeft","mouthRight","mouthSmileLeft","mouthSmileRight","mouthFrownLeft","mouthFrownRight","mouthDimpleLeft","mouthDimpleRight","mouthStretchLeft","mouthStretchRight","mouthRollLower","mouthRollUpper","mouthShrugLower","mouthShrugUpper","mouthPressLeft","mouthPressRight","mouthLowerDownLeft","mouthLowerDownRight","mouthUpperUpLeft","mouthUpperUpRight","browDownLeft","browDownRight","browInnerUp","browOuterUpLeft","browOuterUpRight","cheekPuff","cheekSquintLeft","cheekSquintRight","noseSneerLeft","noseSneerRight","tongueOut","timeStamp","accurateTime","stressLevel"
"1",0.1834505,0.2154815,0.04188642,0,0,0.08648714,0,0.1834344,0.2159557,0.07335964,0,0,0.08648816,0,0.04000341,0.001328346,0.00266796,0.06024092,0.0423309,0.09196014,0.06851684,0.01488099,2.194818e-28,0.03450864,0.03739711,0.001985775,0.0001455693,0.06895941,0.0724539,0.1578739,0.1702838,0.05087421,0.06170446,0.1293883,0.1469272,0.05567661,0.05548386,0.05707595,0.05708842,0.04701259,0.04788452,0.2341458,0.2347047,0.1017066,-1.261169e-44,-1.261169e-44,0.02222243,0.04332803,0.04378938,0.09233648,0.09522154,2.514369e-06,2457002," 437712:40:57.002",1
"2",0.1826247,0.2116469,0.03974966,0,0,0.08653443,0,0.1826076,0.2121064,0.07545215,0,0,0.08653612,0,0.03974571,0.001222564,0.002867005,0.05977635,0.04212409,0.09165233,0.06825162,0.01488517,2.019909e-28,0.03472085,0.03763095,0.00182754,0.0001339696,0.06937405,0.07292844,0.1572278,0.1696403,0.05082159,0.06156448,0.1296296,0.1464973,0.0557646,0.05556464,0.05692236,0.05690702,0.04697699,0.04783455,0.2333291,0.2338846,0.1016825,-1.261169e-44,-1.261169e-44,0.02214314,0.04324242,0.04368091,0.09207977,0.09495671,2.427495e-06,2457035," 437712:40:57.035",1
"3",0.181584,0.2057272,0.03209308,0,0,0.08659488,0,0.1815659,0.2061273,0.08295488,0,0,0.08659758,0,0.03940457,0.001125176,0.003133367,0.05927299,0.04191711,0.09147563,0.06806214,0.01473663,1.858938e-28,0.03511832,0.03874025,0.001681908,0.0001232938,0.06963822,0.07330981,0.1565076,0.1689594,0.05070142,0.06133875,0.129841,0.1459233,0.05578229,0.05559405,0.05673907,0.05670453,0.0469052,0.04775789,0.2309175,0.2314846,0.1017753,-1.261169e-44,-1.261169e-44,0.02209708,0.04308333,0.04353649,0.09171496,0.09458482,2.098744e-06,2457068," 437712:40:57.068",1
"4",0.1803894,0.1935978,0.03057904,0,0,0.08699612,0,0.1803737,0.1940043,0.08425278,0,0,0.0869997,0,0.03917722,0.00103553,0.003390657,0.05890554,0.04176361,0.09126376,0.06786246,0.01451765,1.710796e-28,0.03517507,0.03929047,0.001547878,0.0001134686,0.06986652,0.07366569,0.1559201,0.1684693,0.05065226,0.0612231,0.1299841,0.1454581,0.05582623,0.05563383,0.05660389,0.05656377,0.04682066,0.04768412,0.2289935,0.2295622,0.1018964,-1.261169e-44,-1.261169e-44,0.02205854,0.04296169,0.04345249,0.09132387,0.09418781,1.864216e-06,2457101," 437712:40:57.101",1
"5",0.1797476,0.1871331,0.02519505,0,0,0.08781523,0,0.1797327,0.1875076,0.08947859,0,0,0.08782119,0,0.0391094,0.0009530186,0.003621258,0.05875523,0.04170049,0.09134711,0.06783491,0.01430906,1.574459e-28,0.03524723,0.03976472,0.001424527,0.0001044262,0.07002793,0.07398003,0.155502,0.1681542,0.05055492,0.06128374,0.1301139,0.145155,0.05581408,0.05563591,0.05663713,0.05659039,0.04680304,0.04767838,0.2280603,0.2286289,0.1019884,-1.261169e-44,-1.261169e-44,0.02201794,0.04288733,0.04343556,0.09100224,0.09383905,1.692958e-06,2457136," 437712:40:57.136",1
"6",0.1792859,0.1888411,0.02330671,0,0,0.08846376,0,0.1792715,0.1891972,0.09138637,0,0,0.08847058,0,0.03904251,0.0008770769,0.003831077,0.05856814,0.04161628,0.09135107,0.06785198,0.01420214,1.448987e-28,0.03501755,0.03986428,0.001311005,9.610436e-05,0.07016052,0.07422419,0.1551786,0.1678687,0.05048637,0.06122675,0.1303986,0.1450007,0.05583574,0.05566466,0.05660235,0.05654002,0.04684974,0.04772974,0.2277728,0.2283377,0.1019384,-1.261169e-44,-1.261169e-44,0.02199239,0.04284576,0.04343971,0.09082098,0.09360522,1.536846e-06,2457168," 437712:40:57.168",1
"7",0.1787495,0.1843852,0.02128073,0,0,0.08904561,0,0.1787351,0.1847342,0.09326363,0,0,0.08905303,0,0.03902372,0.0008071843,0.003967602,0.05846038,0.04153398,0.09151059,0.06785312,0.01412099,1.333514e-28,0.03529761,0.04069276,0.001206529,8.844566e-05,0.07039244,0.07459047,0.1548761,0.1675518,0.05037135,0.06124592,0.1306654,0.1448539,0.0558509,0.05570653,0.05667446,0.05658941,0.04694519,0.04783338,0.2274933,0.2280543,0.1018284,-1.261169e-44,-1.261169e-44,0.02195546,0.04280185,0.04345,0.09061579,0.09334114,1.685574e-06,2457202," 437712:40:57.202",1
"8",0.1783274,0.1836493,0.02041173,0,0,0.08961745,0,0.1783123,0.183993,0.09410902,0,0,0.08962522,0,0.03906167,0.00074286,0.004094674,0.05845458,0.04148726,0.09170027,0.06793097,0.0140923,1.227244e-28,0.0351098,0.04084128,0.001110379,8.139727e-05,0.07051557,0.07479446,0.1546156,0.1672553,0.05028835,0.06126738,0.1309181,0.1448801,0.05585466,0.05572992,0.05673065,0.05662199,0.04706204,0.04794027,0.2269606,0.2275131,0.1017883,-1.261169e-44,-1.261169e-44,0.02195399,0.04273501,0.04342756,0.09036245,0.09300347,2.00463e-06,2457235," 437712:40:57.235",1
"9",0.1780612,0.1847369,0.01754654,0,0,0.09012791,0,0.1780459,0.185056,0.0970429,0,0,0.09013591,0,0.03918807,0.000683661,0.004149184,0.05860168,0.04157877,0.09184788,0.06815261,0.0140095,1.129443e-28,0.02920217,0.0388885,0.001021891,7.491058e-05,0.07048381,0.07483248,0.1546178,0.1672215,0.05034639,0.0614423,0.1309934,0.1448602,0.05582463,0.05572305,0.05680249,0.05667578,0.04705467,0.04793501,0.2264584,0.2270087,0.1018783,-1.261169e-44,-1.261169e-44,0.02196721,0.0426704,0.04341137,0.09014207,0.09269624,2.525815e-06,2457269," 437712:40:57.269",1
"10",0.1777244,0.1807756,0.01407078,0,0,0.09072999,0,0.1777077,0.1810765,0.1004934,0,0,0.09073856,0,0.03940957,0.0006291793,0.004148361,0.05887286,0.04168177,0.09191643,0.06828161,0.01401897,1.039435e-28,0.02287817,0.03324617,0.0009404544,6.894082e-05,0.07036637,0.07469393,0.154779,0.1672827,0.05041365,0.06161214,0.1309105,0.1450312,0.05575662,0.05566756,0.05688057,0.05673256,0.0470762,0.04793914,0.2259829,0.2265272,0.1019533,-1.261169e-44,-1.261169e-44,0.0219813,0.04257716,0.04333596,0.08985295,0.09230538,3.305401e-06,2457301," 437712:40:57.301",1
