"","eyeBlinkLeft","eyeLookDownLeft","eyeLookInLeft","eyeLookOutLeft","eyeLookUpLeft","eyeSquintLeft","eyeWideLeft","eyeBlinkRight","eyeLookDownRight","eyeLookInRight","eyeLookOutRight","eyeLookUpRight","eyeSquintRight","eyeWideRight","jawForward","jawLeft","jawRight","jawOpen","mouthClose","mouthFunnel","mouthPucker","mouthLeft","mouthRight","mouthSmileLeft","mouthSmileRight","mouthFrownLeft","mouthFrownRight","mouthDimpleLeft","mouthDimpleRight","mouthStretchLeft","mouthStretchRight","mouthRollLower","mouthRollUpper","mouthShrugLower","mouthShrugUpper","mouthPressLeft","mouthPressRight","mouthLowerDownLeft","mouthLowerDownRight","mouthUpperUpLeft","mouthUpperUpRight","browDownLeft","browDownRight","browInnerUp","browOuterUpLeft","browOuterUpRight","cheekPuff","cheekSquintLeft","cheekSquintRight","noseSneerLeft","noseSneerRight","tongueOut","timeStamp","accurateTime","stressLevel"
"1",0.003841894,0.1608219,0,0.1145231,0,0.06340612,0.01301246,0.003817108,0.1596855,0.2278721,0,0,0.06340706,0.01308718,0.02230283,1.831322e-07,0.006347068,0.01754118,0.02145866,0.087192,0.05833174,4.889858e-08,0.008870093,2.247229e-36,8.748871e-37,0.1809066,0.1807545,0.06178876,0.06135897,0.1047948,0.1158516,0.04705567,0.03727044,0.2870924,0.1000343,0.0455911,0.04691692,0.01569638,0.01525144,0.04461597,0.04398498,0.004302128,0.004349312,0.1730713,0.03080741,0.02989606,0.0456721,0.02110832,0.02088055,0.04113782,0.04349268,9.102656e-06,1866477," 437692:31:06.477",0
"2",0.08606333,0.1798654,0,0.11084,0,0.0628797,0.01168224,0.08605031,0.1786139,0.2242422,0,0,0.06288049,0.01173942,0.02210431,1.68538e-07,0.006703248,0.01721788,0.02109202,0.0872389,0.0586331,4.500176e-08,0.009078471,2.068143e-36,8.051656e-37,0.1811965,0.1807872,0.06197893,0.0616621,0.1041444,0.1154763,0.04763471,0.03713152,0.287263,0.1006102,0.04622697,0.04750529,0.01538173,0.01493817,0.0444827,0.04385525,0.00470365,0.004756165,0.1729758,0.03040322,0.02948829,0.0461328,0.02119596,0.02097216,0.04129023,0.04354462,1.058992e-05,1866493," 437692:31:06.493",0
"3",0.1884213,0.2188223,0,0.09646982,0,0.06266382,0.01054983,0.1883593,0.2174174,0.2100155,0,0,0.06266427,0.01059319,0.02195567,1.551069e-07,0.007051048,0.01703642,0.02085189,0.087483,0.05882974,4.141548e-08,0.009061944,1.903329e-36,7.410003e-37,0.1799725,0.1805309,0.06195796,0.06161816,0.1035638,0.1151906,0.04825315,0.03724218,0.2762924,0.1011247,0.04678161,0.04795938,0.01514237,0.01469993,0.04436566,0.04367505,0.005066283,0.005123504,0.1750578,0.0296493,0.02880451,0.04653011,0.02143807,0.02119897,0.04163232,0.04369608,1.81843e-05,1866510," 437692:31:06.510",0
"4",0.3610903,0.2517063,0,0.06344723,0,0.0629566,0.009619359,0.3610771,0.2504269,0.1772905,0,0,0.06295674,0.009652399,0.02221524,1.427461e-07,0.007371457,0.01715486,0.02078312,0.08773287,0.05859853,3.8115e-08,0.008794894,1.751648e-36,6.819485e-37,0.166518,0.1692983,0.06187017,0.06141825,0.1032148,0.1150572,0.04869214,0.03774312,0.2272816,0.1014915,0.04702908,0.04812453,0.01506929,0.01462896,0.04452163,0.04372836,0.004938227,0.004994229,0.2144043,0.04756562,0.04616079,0.04646598,0.02188033,0.02159874,0.04217583,0.04403979,1.907502e-05,1866527," 437692:31:06.527",0
"5",0.7916498,0.2066682,0,0.005173295,0,0.08533202,0.008807763,0.7792065,0.206148,0.1173741,0,0,0.08493337,0.00883535,0.02277186,0.00030759,0.007110993,0.01738376,0.02077146,0.08784723,0.05742478,6.755522e-05,0.008293106,1.612056e-36,6.276027e-37,0.1400689,0.1664283,0.06201576,0.06118911,0.1034598,0.1152618,0.04884712,0.03930974,0.2135338,0.1009779,0.04730402,0.04832654,0.01503468,0.01463773,0.04478887,0.04374558,0.004692251,0.004745578,0.2313398,0.05826528,0.05788692,0.04515807,0.02454179,0.02200998,0.0449831,0.04506705,1.81062e-05,1866543," 437692:31:06.543",0
"6",0.9173431,0.1710301,0.02730124,0,0,0.0934351,0.008081762,0.9073366,0.1708459,0.08431599,0,0,0.09297773,0.008105643,0.02384148,0.000676917,0.00671932,0.01773343,0.02083797,0.08805559,0.05666535,0.0004176382,0.007738777,1.483588e-36,5.775878e-37,0.1327017,0.1651303,0.06187979,0.06073705,0.1040103,0.1156024,0.04886905,0.04046097,0.2062672,0.1005881,0.04755621,0.04855446,0.01504108,0.01466591,0.04505625,0.0437879,0.004397297,0.004447333,0.2420346,0.06462021,0.06448206,0.04434352,0.02572076,0.0224435,0.04621161,0.04576644,1.702438e-05,1866560," 437692:31:06.560",0
"7",0.9204299,0.1594601,0.05749228,0,0,0.09825797,0.007424815,0.9191096,0.1594925,0.05422959,0,0,0.09783433,0.007445985,0.02497454,0.001113387,0.006277521,0.01812364,0.02092967,0.08819722,0.05557167,0.001759456,0.007179097,1.365358e-36,5.315587e-37,0.1294979,0.164255,0.06179248,0.06025632,0.1046308,0.1157333,0.04887197,0.04246301,0.2014618,0.1000488,0.04757575,0.04859921,0.01509641,0.01472061,0.04520712,0.04375404,0.004089143,0.004135703,0.2480751,0.06951512,0.06930816,0.04361069,0.02651461,0.02284133,0.04697142,0.04628598,8.739538e-06,1866577," 437692:31:06.577",0
"8",0.824288,0.1704909,0.06079721,0,0,0.1015036,0.006826215,0.8190727,0.1705434,0.05087501,0,0,0.1011109,0.006845266,0.02575011,0.002731583,0.005827393,0.01850862,0.02101283,0.08817809,0.054618,0.002388975,0.00663751,1.25655e-36,4.891977e-37,0.1282179,0.1639385,0.06178562,0.05983181,0.1057111,0.1160301,0.04886516,0.0435607,0.1985394,0.09954983,0.04739668,0.04847995,0.0151745,0.0148163,0.04532913,0.04372925,0.003785898,0.003829022,0.2520089,0.07976197,0.07965278,0.04250903,0.02709587,0.02311442,0.04748235,0.04675524,7.373697e-06,1866594," 437692:31:06.594",0
"9",0.676974,0.1942236,0.03353905,0,0,0.1030404,0.006278527,0.6688147,0.19405,0.07876666,0,0,0.1026631,0.006295828,0.0265135,0.003028863,0.005428363,0.01889196,0.02109312,0.08842864,0.0540257,0.002734542,0.006124895,1.156413e-36,4.502126e-37,0.1274942,0.1628525,0.06200977,0.05964595,0.1059646,0.1160645,0.04894805,0.04437559,0.1995324,0.0997882,0.04758212,0.04863153,0.01528082,0.01492303,0.04585325,0.04405649,0.003496303,0.003536138,0.2503757,0.07716443,0.07704414,0.04189531,0.02757756,0.02343486,0.047976,0.04720872,5.919806e-06,1866610," 437692:31:06.610",0
"10",0.359902,0.2306293,0,0.03873612,0,0.1001189,0.005776201,0.358351,0.2297072,0.1520146,0,0,0.09987483,0.005791999,0.02711309,0.003063121,0.008052942,0.01926813,0.02115227,0.08948752,0.0537849,0.002746916,0.005969014,1.064256e-36,4.143343e-37,0.1276526,0.160188,0.06216544,0.05959042,0.1056373,0.1161407,0.04919129,0.04491047,0.2149009,0.104707,0.04798935,0.04884809,0.01539131,0.01503992,0.04703739,0.04458772,0.003224159,0.003260897,0.2448421,0.06796587,0.06740803,0.04178771,0.02791827,0.02383413,0.04827845,0.04745478,5.472029e-06,1866627," 437692:31:06.627",0
"11",0.2630519,0.2358632,0,0.06014672,0,0.09497951,0.005314826,0.2628968,0.234705,0.1736472,0,0,0.09485272,0.005329299,0.02733656,0.002966548,0.009083021,0.01939761,0.02111352,0.09001604,0.0536718,0.002651273,0.005915344,9.794434e-37,3.813152e-37,0.1327607,0.1593333,0.06242555,0.05972666,0.1044645,0.1159906,0.04955738,0.04518754,0.2354051,0.1062687,0.04853215,0.04920233,0.01537136,0.01503126,0.04760595,0.04493436,0.002970689,0.003004541,0.2334835,0.05402601,0.05314249,0.04198568,0.0281572,0.02421712,0.04845017,0.0476075,6.412438e-06,1866645," 437692:31:06.645",0
"12",0.1562224,0.2236998,0,0.07155128,0,0.08431567,0.00489071,0.1562465,0.2224952,0.1851774,0,0,0.08427694,0.004903995,0.02727646,0.002809104,0.00981076,0.01942665,0.02101192,0.09036817,0.05365455,0.002505965,0.005931134,9.013896e-37,3.509274e-37,0.1365316,0.158905,0.06253281,0.05980792,0.1030088,0.1155988,0.04980297,0.04505958,0.2445567,0.1072364,0.04885035,0.049376,0.01530219,0.01496388,0.04799546,0.04520568,0.00321945,0.003256731,0.2025552,0.03698582,0.03655606,0.04224849,0.02812987,0.02437072,0.04838992,0.04758825,5.750458e-06,1866661," 437692:31:06.661",0
"13",0.1209633,0.2142515,0,0.07919851,0,0.07633612,0.004500656,0.1210262,0.2130307,0.1928734,0,0,0.0763328,0.004512863,0.02705159,0.002627507,0.0101003,0.01944644,0.02095578,0.09091882,0.0546439,0.002341574,0.005988784,8.29556e-37,3.229613e-37,0.144376,0.1589754,0.06230626,0.05965568,0.1023781,0.1154133,0.0499742,0.04466989,0.2491069,0.1080425,0.04889953,0.04933482,0.01525759,0.01491241,0.04817478,0.04536343,0.003141587,0.00317764,0.1933724,0.0312685,0.03088924,0.04260095,0.02789169,0.02433936,0.04810673,0.04740109,5.959899e-06,1866677," 437692:31:06.677",0
