"","X","eyeBlinkLeft","eyeLookDownLeft","eyeLookInLeft","eyeLookOutLeft","eyeLookUpLeft","eyeSquintLeft","eyeWideLeft","eyeBlinkRight","eyeLookDownRight","eyeLookInRight","eyeLookOutRight","eyeLookUpRight","eyeSquintRight","eyeWideRight","jawForward","jawLeft","jawRight","jawOpen","mouthClose","mouthFunnel","mouthPucker","mouthLeft","mouthRight","mouthSmileLeft","mouthSmileRight","mouthFrownLeft","mouthFrownRight","mouthDimpleLeft","mouthDimpleRight","mouthStretchLeft","mouthStretchRight","mouthRollLower","mouthRollUpper","mouthShrugLower","mouthShrugUpper","mouthPressLeft","mouthPressRight","mouthLowerDownLeft","mouthLowerDownRight","mouthUpperUpLeft","mouthUpperUpRight","browDownLeft","browDownRight","browInnerUp","browOuterUpLeft","browOuterUpRight","cheekPuff","cheekSquintLeft","cheekSquintRight","noseSneerLeft","noseSneerRight","tongueOut","timeStamp","accurateTime","stressLevel"
"1",6388,0.01003578,0.1662208,0.08915077,0,0,0.1717347,0.005408978,0.009240675,0.1672949,0.02130066,0,0,0.1719293,0.005423533,0.02777108,0.01582228,0.0001147932,0.01240252,0.01623187,0.08158941,0.04052016,0.03058021,3.930297e-25,0.1824576,0.1351307,0.0002245468,0.0002638591,0.2583263,0.2192951,0.09466692,0.08385141,0.05164446,0.05000523,0.3418555,0.1068893,0.05669722,0.0580474,0.02971309,0.02881857,0.08712532,0.08226258,0.2415552,0.2404582,0.07619131,-1.261169e-44,-1.261169e-44,0.0264374,0.1499556,0.1314777,0.1477325,0.1465535,0.0004471397,1376508," 437718:22:56.508",1
"2",6389,0.009297714,0.1639335,0.09529115,0,0,0.172341,0.005801392,0.008589681,0.1650468,0.01523702,0,0,0.1725376,0.005829475,0.02789747,0.01580733,0.0001056452,0.01221522,0.01603073,0.08129343,0.04008571,0.02890781,3.617084e-25,0.1769786,0.1337196,0.0002066523,0.0002428317,0.2600411,0.2256038,0.09457082,0.0837774,0.05175082,0.04967085,0.3489847,0.1068866,0.0573753,0.05879925,0.0295243,0.02861725,0.08746785,0.08324327,0.241335,0.2403032,0.07581948,-1.261169e-44,-1.261169e-44,0.0262602,0.1498485,0.1324276,0.1484869,0.1478392,0.0004091473,1376525," 437718:22:56.525",1
"3",6390,0.00922724,0.1657263,0.07739655,0,0,0.1723101,0.006193018,0.008575292,0.1667218,0.03341711,0,0,0.1725153,0.006232689,0.02799103,0.01577461,9.722617e-05,0.01201266,0.01581253,0.08108721,0.03948585,0.02786645,3.328831e-25,0.1756768,0.1333996,0.0001901837,0.0002234799,0.2634587,0.2301105,0.09433308,0.08357375,0.0519029,0.04934969,0.3523146,0.1066222,0.05808222,0.05955572,0.0292806,0.02836276,0.08773906,0.08391552,0.2413042,0.2403276,0.07532702,-1.261169e-44,-1.261169e-44,0.02613129,0.1492037,0.1327282,0.1488361,0.1484701,0.0003320901,1376542," 437718:22:56.542",1
"4",6391,0.01008622,0.1706433,0.05644509,0,0,0.1713866,0.006522361,0.009468632,0.1714957,0.05458649,0,0,0.1716103,0.006570927,0.02813761,0.0157379,8.947806e-05,0.01184372,0.01562074,0.08075219,0.03888671,0.02722776,3.06355e-25,0.1723072,0.1219028,0.0001750276,0.0002056704,0.2592088,0.2166623,0.09434932,0.08351409,0.05204787,0.04899131,0.3517458,0.1065676,0.05854688,0.0600534,0.02906873,0.02812625,0.08811629,0.08445594,0.2413914,0.2404484,0.07490856,-1.261169e-44,-1.261169e-44,0.02599256,0.1462976,0.1311897,0.1488339,0.1484713,0.000279032,1376558," 437718:22:56.558",1
"5",6392,0.01073079,0.169594,0.04297829,0,0,0.1713656,0.006944856,0.01013294,0.1703521,0.06800093,0,0,0.1715921,0.007005109,0.02824366,0.01547952,8.23474e-05,0.01166549,0.01542535,0.08038542,0.03848837,0.02677825,2.81941e-25,0.1713198,0.1182143,0.0001610793,0.0001892801,0.2585029,0.2136907,0.09429373,0.08346516,0.05217294,0.04869832,0.3519646,0.106515,0.05903943,0.06054357,0.02888211,0.02791262,0.08869801,0.08501177,0.2434396,0.2424645,0.07445311,-1.261169e-44,-1.261169e-44,0.02583969,0.1455565,0.1307158,0.1488417,0.1482288,0.0002646938,1376575," 437718:22:56.575",1
"6",6393,0.01454692,0.170502,0.04319683,0,0,0.1724571,0.006778897,0.01362224,0.1712613,0.06787354,0,0,0.1727185,0.006839891,0.02832369,0.01557739,7.578498e-05,0.01153558,0.01531698,0.08045904,0.03842725,0.02653743,2.594725e-25,0.178468,0.1194221,0.0001482426,0.000174196,0.258257,0.2122632,0.09405045,0.08314088,0.05235766,0.0485548,0.3524358,0.1062835,0.05971241,0.06146237,0.0288008,0.02780253,0.08974932,0.08583856,0.2512378,0.250342,0.07381384,-1.261169e-44,-1.261169e-44,0.02574256,0.1588045,0.137818,0.157912,0.1552477,0.0002560757,1376591," 437718:22:56.591",1
"7",6394,0.01565858,0.1632222,0.04209654,0,0,0.1761711,0.00718539,0.0146826,0.1639796,0.06900989,0,0,0.176507,0.007260151,0.02840815,0.01567582,6.974553e-05,0.01145872,0.01526702,0.08076331,0.03855669,0.02633261,2.387947e-25,0.1835287,0.1234892,0.0001364288,0.000160314,0.2563454,0.2110167,0.09388518,0.08288074,0.05249638,0.04842774,0.3528939,0.1062601,0.06030698,0.06216833,0.02883763,0.02780993,0.09053063,0.08651646,0.2544251,0.2535162,0.07311857,-1.261169e-44,-1.261169e-44,0.02568476,0.1640503,0.1423977,0.1623809,0.1589847,0.0002801639,1376608," 437718:22:56.608",1
"8",6395,0.01663462,0.1667114,0.03959631,0,0,0.1773931,0.007322682,0.01563139,0.1674491,0.07155135,0,0,0.1777548,0.007401448,0.02847903,0.01579458,6.418738e-05,0.01138312,0.01521934,0.08102914,0.03876308,0.02621588,2.197646e-25,0.1855298,0.1247587,0.0001255566,0.0001475382,0.253047,0.2085058,0.09375971,0.08263968,0.05258073,0.04824364,0.3535102,0.10642,0.06085731,0.06280631,0.02887207,0.02781503,0.09142759,0.08721592,0.2560818,0.255172,0.07249098,-1.261169e-44,-1.261169e-44,0.02563089,0.166308,0.1441806,0.1645443,0.1608033,0.0002396589,1376625," 437718:22:56.625",1
"9",6396,0.04141367,0.1763061,0.03247582,0,0,0.177538,0.00701589,0.03786644,0.176984,0.07875455,0,0,0.1779096,0.00709266,0.02853169,0.01632841,5.907216e-05,0.01124886,0.01510165,0.08104371,0.03866771,0.02755756,2.022512e-25,0.1907388,0.1251066,0.0001155507,0.0001357806,0.2614902,0.2077992,0.09375146,0.08222575,0.05274048,0.04798301,0.3555836,0.106384,0.06130024,0.06328839,0.02880305,0.02771585,0.09561738,0.08888042,0.256524,0.2555156,0.07212505,-1.261169e-44,-1.261169e-44,0.02552573,0.1677329,0.1448517,0.1660203,0.1617441,0.000189619,1376642," 437718:22:56.642",1
"10",6397,0.04977661,0.1845638,0.0280209,0,0,0.1762754,0.006604918,0.04620119,0.1851984,0.0831883,0,0,0.1766225,0.006677862,0.0285708,0.01670093,5.436458e-05,0.01108709,0.01492976,0.08083729,0.03838578,0.02811736,1.861334e-25,0.1934874,0.125631,0.0001063422,0.00012496,0.2769648,0.2147815,0.09364348,0.08181862,0.05287144,0.0476609,0.3640462,0.1064741,0.06184485,0.06385352,0.02862148,0.02750567,0.0992054,0.0914036,0.256693,0.2556101,0.07178809,-1.261169e-44,-1.261169e-44,0.02540298,0.1683172,0.1449928,0.1665329,0.1617931,0.0002378563,1376658," 437718:22:56.658",1
