"","eyeBlinkLeft","eyeLookDownLeft","eyeLookInLeft","eyeLookOutLeft","eyeLookUpLeft","eyeSquintLeft","eyeWideLeft","eyeBlinkRight","eyeLookDownRight","eyeLookInRight","eyeLookOutRight","eyeLookUpRight","eyeSquintRight","eyeWideRight","jawForward","jawLeft","jawRight","jawOpen","mouthClose","mouthFunnel","mouthPucker","mouthLeft","mouthRight","mouthSmileLeft","mouthSmileRight","mouthFrownLeft","mouthFrownRight","mouthDimpleLeft","mouthDimpleRight","mouthStretchLeft","mouthStretchRight","mouthRollLower","mouthRollUpper","mouthShrugLower","mouthShrugUpper","mouthPressLeft","mouthPressRight","mouthLowerDownLeft","mouthLowerDownRight","mouthUpperUpLeft","mouthUpperUpRight","browDownLeft","browDownRight","browInnerUp","browOuterUpLeft","browOuterUpRight","cheekPuff","cheekSquintLeft","cheekSquintRight","noseSneerLeft","noseSneerRight","tongueOut","timeStamp","accurateTime","stressLevel"
"1",-0.0006344831,0,0.1664995,0,0.2815022,0.2674512,0.3558894,-0.0006356015,0,0,0.05873993,0.2825368,0.2640171,0.3541827,0.01326634,5.86352e-35,0.027798,0.0167643,0.02419284,0.1201946,0.07593659,-1.261169e-44,0.01569829,-1.261169e-44,1.528433e-22,0.08981559,0.05888509,0.06100373,0.06891046,0.115489,0.1427571,0.04747757,0.05489767,0.1317979,0.05046754,0.02884667,0.02761362,0.03522827,0.03765092,0.01304644,0.01409499,0.001202992,0.001204397,0.1220328,0.004398507,0.004385748,0.06078979,0.02653777,0.03001907,0.0436417,0.05046349,8.088355e-06,755501," 437720:12:35.501",1
"2",-0.0005839198,0,0.1628431,0,0.2836867,0.2672438,0.3576177,-0.0005849492,0,0,0.05505832,0.2846889,0.2638111,0.3557772,0.013482,5.396245e-35,0.02769765,0.01688696,0.02448857,0.1213128,0.07797908,-1.261169e-44,0.01601246,-1.261169e-44,1.406629e-22,0.09076692,0.05908236,0.06135144,0.06950327,0.1154752,0.1426072,0.04794584,0.05597979,0.1320438,0.05001592,0.02896901,0.02780511,0.03527132,0.03768492,0.0129845,0.01403779,0.001349578,0.001351918,0.1218544,0.004534569,0.00451911,0.06156682,0.02658984,0.03011484,0.04357165,0.0504545,8.737969e-06,755518," 437720:12:35.518",1
"3",-0.000537386,0,0.1590157,0,0.2828455,0.2664869,0.3585372,-0.0005383334,0,0,0.0511855,0.2838009,0.2630372,0.3566055,0.01370437,4.966208e-35,0.0278658,0.01704692,0.02477715,0.1226181,0.078945,-1.261169e-44,0.01653758,-1.261169e-44,1.294532e-22,0.09135686,0.05900425,0.0617179,0.07023209,0.1152872,0.1424403,0.04838705,0.05693574,0.1322199,0.04969154,0.02914338,0.02803586,0.03539353,0.0378032,0.01294808,0.01400939,0.001649317,0.001654444,0.1217107,0.004674257,0.004656105,0.06212645,0.02662532,0.03022234,0.0434593,0.05039128,8.447865e-06,755534," 437720:12:35.534",1
"4",-0.0004945606,0,0.1563698,0,0.2810596,0.2657428,0.3592465,-0.0004954326,0,0,0.04846894,0.2819786,0.2622773,0.3572442,0.01398451,4.570441e-35,0.02796626,0.01722109,0.02511118,0.1234358,0.07958508,-1.261169e-44,0.01709276,-1.261169e-44,1.191368e-22,0.09192619,0.05910831,0.06229359,0.07268456,0.115018,0.142188,0.04895924,0.05895968,0.1324774,0.04928061,0.0293352,0.02830263,0.03548277,0.03788339,0.01291511,0.01398413,0.001911878,0.001919185,0.1215658,0.004862419,0.00484075,0.06276638,0.02666819,0.03033001,0.04332596,0.05029861,8.733334e-06,755551," 437720:12:35.551",1
"5",-0.0004551481,0,0.1520783,0,0.2676467,0.2611458,0.3596124,-0.0004559506,0,0,0.04387949,0.2684699,0.2575906,0.3575246,0.01437436,4.206213e-35,0.02805102,0.01732387,0.02535523,0.1241421,0.07985114,-1.261169e-44,0.01774735,-1.261169e-44,1.096426e-22,0.09464866,0.06012336,0.06403369,0.0779852,0.1145603,0.1418273,0.04964578,0.0607261,0.1336437,0.04891022,0.02962803,0.02867063,0.03548353,0.03787325,0.01293151,0.01401488,0.002094457,0.00210303,0.1213683,0.005224279,0.00519492,0.06356887,0.02667657,0.03040037,0.04316808,0.05016354,9.826773e-06,755568," 437720:12:35.568",1
"6",-0.0004188765,0,0.1503895,0,0.2624653,0.2583161,0.3596464,-0.000419615,0,0,0.04206654,0.2632519,0.2547782,0.3574732,0.01485935,3.871012e-35,0.02805012,0.01744455,0.02560529,0.1245606,0.07976481,-1.261169e-44,0.01837154,-1.261169e-44,1.00905e-22,0.1049886,0.06627725,0.06549887,0.08139531,0.1141274,0.141429,0.05058337,0.06247348,0.1347548,0.04867984,0.02990772,0.02904505,0.03549476,0.03787191,0.01297302,0.01407875,0.00232622,0.002336667,0.121209,0.005596891,0.005559638,0.06413206,0.02665124,0.03044069,0.04294569,0.04994701,1.11665e-05,755584," 437720:12:35.584",1
"7",-0.0003854954,0,0.1492365,0,0.2626314,0.2565243,0.3599336,-0.000386175,0,0,0.04091947,0.2634065,0.2531272,0.3577358,0.01521372,3.562523e-35,0.02793267,0.01755583,0.02582313,0.1247015,0.07951502,-1.261169e-44,0.01867577,-1.261169e-44,9.286364e-23,0.1064961,0.06766036,0.06639902,0.08288788,0.1139688,0.1411661,0.05111678,0.06346031,0.1351151,0.04838645,0.03006416,0.02929812,0.03558424,0.03793899,0.01299091,0.01410874,0.002455604,0.002466834,0.1211934,0.005804496,0.005763206,0.06432689,0.02667754,0.03050152,0.04282729,0.04985615,1.262809e-05,755601," 437720:12:35.601",1
"8",-0.0003547745,0,0.1493667,0,0.2608507,0.2551237,0.3588968,-0.0003553999,0,0,0.0411816,0.2616206,0.2519386,0.3568149,0.01523029,3.278618e-35,0.02776838,0.01749301,0.02580104,0.1250371,0.07956453,-1.261169e-44,0.01855272,-1.261169e-44,8.546315e-23,0.06653694,0.03950732,0.06690957,0.08335322,0.1138442,0.140732,0.05114239,0.06360403,0.1354628,0.04813935,0.03024352,0.02953206,0.03555602,0.03789036,0.01300708,0.01412646,0.002674026,0.002687143,0.1210808,0.005794853,0.005753024,0.06454595,0.02680069,0.0306222,0.04286494,0.04997492,1.220823e-05,755618," 437720:12:35.618",1
"9",-0.0003265018,0,0.1485115,0,0.2556808,0.252283,0.358311,-0.0003270774,0,0,0.04040482,0.2564236,0.2495186,0.3562912,0.01517442,3.017339e-35,0.02766961,0.01740495,0.02568723,0.1252221,0.07945933,-1.261169e-44,0.01830254,-1.261169e-44,7.865242e-23,0.05980319,0.03326244,0.0670362,0.08306408,0.1137905,0.1403649,0.05099425,0.06328136,0.1357509,0.04820093,0.03039368,0.02971236,0.03553124,0.03785456,0.01306034,0.0141783,0.002894555,0.00290963,0.1209597,0.005691396,0.005650423,0.06460203,0.02686899,0.03066835,0.0429075,0.05008282,1.230222e-05,755634," 437720:12:35.634",1
"10",-0.0003004822,0,0.1462732,0,0.2613457,0.251327,0.3578111,-0.000301012,0,0,0.0383606,0.2620842,0.2487039,0.3558432,0.01507008,2.776881e-35,0.02771925,0.01740398,0.02560432,0.1254924,0.07921176,-1.261169e-44,0.01823363,-1.261169e-44,7.238446e-23,0.05841681,0.03028288,0.06689377,0.08226335,0.113813,0.1402979,0.0507295,0.06290612,0.1353702,0.04829107,0.03042595,0.02973594,0.03562171,0.03795916,0.01308055,0.01419544,0.003019982,0.003035895,0.1210894,0.005713126,0.005671619,0.06450031,0.02692462,0.0307273,0.04295235,0.05017384,1.194551e-05,755651," 437720:12:35.651",1
