编号,静息状态开始,静息状态结束,正式实验开始,Event1,Event2,Event3,Event 4,Event 5,Event 6,Event7,场景开始时间,检查情况
1月1日,26.964,,387.839,113.3615,289.2696,336.3575,506.233,643.8299,739.9165,837.0412,08:27:36,有问题
1月2日,171.113,777.859,991.55,95,231,278,444,564,656,753,08:39:22,
2月1日,9.109,,329.421,118.6567,260.4172,303.6379,458.7107,580.3407,670.2831,756.0688,09:27:16,通过
2月2日,36.601,,416.39,98,231,278,443,558,659,767,09:23:27,
3月1日,58.074,313.64,366.394,123.6225,298.8225,353.6774,543.5854,688.0219,797.7155,923.4766,10:30:01,有问题
3月2日,16.289,,325.921,104,269,321,493,630,733,841,10:17:51,
4月1日,117.097,,409.359,96.27854,237.9785,279.6666,432.3972,549.1957,635.249,722.2758,11:24:03,通过
4月2日,61.391,,385.66,93,228,272,420,538,626,719,11:11:05,
5月1日,62.253,,378.125,114.4733,265.2165,316.8485,493.158,621.8918,717.4029,819.7225,12:29:13,通过
5月2日,15.578,,345.625,96,253,316,509,629,734,855,12:33:04,
6月1日,51.039,354.984,457.042,144.7532,357.014,408.7477,576.2193,730.6906,829.7229,942.0747,01:33:35,通过
6月2日,75.746,,458.179,109,274,329,511,649,744,869,01:09:48,
7月1日,20.027,,402.503,130.0141,312.0729,359.3658,547.3273,676.3957,768.4852,869.6571,02:27:31,通过
7月2日,73.124,,447.399,100,239,286,452,575,662,764,02:21:17,
8月1日,12.347,,324.664,95.88718,251.001,294.9211,509.6641,659.7924,758.9414,899.3885,03:36:37,通过
8月2日,55.863,,379.332,96,245,292,466,599,706,848,03:26:41,
9月1日,50.222,,408.144,113.8466,310.152,362.9598,628.2129,796.98,908.0118,1051.434,04:35:53,通过
9月2日,10.534,,393.927,126,298,354,541,696,803,963,04:10:30,
10月1日,7.295,,105.645,95.05294,237.4785,283.383,460.8337,584.2304,672.4259,782.5993,05:46:32,通过
10月2日,70.528,,414.482,96,242,298,476,605,698,833,05:13:59,
